participant_id,cue,response,response_type,semantic_category,affective_valence
P15,Namak,Shakkar,paradigmatic,taxonomic,neutral
P15,Aashirwad,Blessing,paradigmatic,taxonomic,positive
P15,Sharam,Lihaj,paradigmatic,cultural,neutral
P15,Sanskar,Aadarsh,syntagmatic,emotional,positive
P15,Baadal,Bijli,syntagmatic,perceptual,neutral
P16,Sharam,Besharmi,paradigmatic,emotional,negative
P16,Chashma,Gaurav,encyclopedic,cultural,neutral
P16,Values,Good human,syntagmatic,emotional,positive
P16,Sanskar,Woman,encyclopedic,cultural,neutral
P16,Salt,Sea,encyclopedic,perceptual,neutral
P16,Neighbourhood,Four,encyclopedic,cultural,neutral
P16,Mauka,Chance,paradigmatic,taxonomic,positive
P16,Cloud,Nine,encyclopedic,cultural,neutral
P16,Kutta,Billi,paradigmatic,taxonomic,neutral
P16,Aashirwad,Aata,encyclopedic,cultural,positive
P16,Dog,Puppy,paradigmatic,taxonomic,positive
P16,Namak,Tata,encyclopedic,cultural,neutral
P16,Blessing,Elders,syntagmatic,cultural,positive
P16,Time,Slow,syntagmatic,perceptual,negative
P16,Shyness,Me,encyclopedic,cultural,neutral
P16,Opportunity,Rare,syntagmatic,perceptual,neutral
P16,Glasses,Broken,syntagmatic,perceptual,negative
P16,Baadal,Blue,syntagmatic,perceptual,neutral
P16,Mohalla,Noisy,syntagmatic,perceptual,negative
P16,Samay,Raina,encyclopedic,cultural,neutral
P17,Time,Clock,syntagmatic,functional,neutral
P17,Salt,Sugar,paradigmatic,taxonomic,neutral
P17,Mohalla,Delhi,encyclopedic,cultural,neutral
P17,Blessing,Disguise,encyclopedic,cultural,neutral
P17,Sanskar,Hinduism,encyclopedic,cultural,neutral
P17,Kutta,Gaali,encyclopedic,cultural,negative
P17,Mauka,Chauka,encyclopedic,cultural,positive
P17,Cloud,Nine,encyclopedic,cultural,neutral
P17,Samay,Raina,encyclopedic,cultural,neutral
P17,Sharam,Galich,encyclopedic,cultural,negative
P17,Shyness,Women,encyclopedic,cultural,neutral
P17,Neighbourhood,Community,paradigmatic,taxonomic,positive
P17,Baadal,Rain,syntagmatic,perceptual,neutral
P17,Values,Morals,paradigmatic,taxonomic,positive
P17,Opportunity,Snake,encyclopedic,cultural,negative
P17,Namak,Namkeen,paradigmatic,taxonomic,neutral
P17,Aashirwad,Aata,encyclopedic,cultural,positive
P17,Chashma,Studious,encyclopedic,cultural,neutral
P17,Glasses,Water,encyclopedic,functional,neutral
P17,Dog,Cat,paradigmatic,taxonomic,neutral
P18,Blessing,God,syntagmatic,cultural,positive
P18,Cloud,Fluffy,syntagmatic,perceptual,positive
P18,Time,Watch,syntagmatic,functional,neutral
P18,Glasses,Specs,paradigmatic,taxonomic,neutral
P18,Mauka,Chance,paradigmatic,taxonomic,positive
P18,Neighbourhood,Neighbour,paradigmatic,taxonomic,neutral
P18,Salt,Sodium chloride,paradigmatic,taxonomic,neutral
P18,Kutta,Doggy,paradigmatic,taxonomic,neutral
P18,Samay,Time,paradigmatic,taxonomic,neutral
P18,Shyness,Blush,syntagmatic,perceptual,neutral
P18,Dog,Cat,paradigmatic,taxonomic,neutral
P18,Chashma,Glasses,paradigmatic,taxonomic,neutral
P18,Mohalla,Neighbour,paradigmatic,taxonomic,neutral
P18,Opportunity,Chance,paradigmatic,taxonomic,positive
P18,Values,Math,encyclopedic,cultural,neutral
P18,Namak,Salt,paradigmatic,taxonomic,neutral
P18,Aashirwad,Blessings,paradigmatic,taxonomic,positive
P18,Sharam,Disgusting,syntagmatic,emotional,negative
P18,Sanskar,Good,syntagmatic,emotional,positive
P18,Baadal,Paani,syntagmatic,perceptual,neutral
P19,Blessing,God,syntagmatic,cultural,positive
P19,Cloud,Heavy,syntagmatic,perceptual,neutral
P19,Time,Expensive,syntagmatic,functional,negative
P19,Glasses,Sun,syntagmatic,functional,neutral
P19,Mauka,Sunhera,syntagmatic,perceptual,positive
P19,Neighbourhood,Good,syntagmatic,emotional,positive
P19,Salt,Black,syntagmatic,perceptual,neutral
P19,Kutta,Billi,paradigmatic,taxonomic,neutral
P19,Samay,Balwan,encyclopedic,cultural,positive
P19,Shyness,Agrim,encyclopedic,cultural,neutral
P19,Dog,Bark,syntagmatic,functional,neutral
P19,Chashma,Pehen lo,syntagmatic,functional,neutral
P19,Mohalla,Acha,syntagmatic,emotional,positive
P19,Opportunity,Avail,syntagmatic,functional,positive
P19,Values,Down,syntagmatic,emotional,negative
P19,Namak,Kha lo,syntagmatic,functional,neutral
P19,Aashirwad,Shubh,syntagmatic,emotional,positive
P19,Sharam,Aati nahi,encyclopedic,cultural,negative
P19,Sanskar,Ache,syntagmatic,emotional,positive
P19,Baadal,Garajte hain,syntagmatic,perceptual,neutral
P20,Kutta,Biscuit,encyclopedic,cultural,positive
P20,Baadal,Baarish,syntagmatic,perceptual,neutral
P20,Blessing,God,syntagmatic,cultural,positive
P20,Mohalla,Building,syntagmatic,functional,neutral
P20,Time,3 o clock,encyclopedic,cultural,neutral
P20,Aashirwad,Aata,encyclopedic,cultural,positive
P20,Chashma,Glass,paradigmatic,taxonomic,neutral
P20,Sanskar,Ache,syntagmatic,emotional,positive
P20,Values,Good deeds,syntagmatic,functional,positive
P20,Shyness,Speech,syntagmatic,functional,neutral
P20,Dog,Biscuit,encyclopedic,cultural,positive
P20,Sharam,Dance,encyclopedic,cultural,neutral
P20,Samay,Purana,syntagmatic,perceptual,neutral
P20,Opportunity,Good,syntagmatic,emotional,positive
P20,Mauka,Acha,syntagmatic,emotional,positive
P20,Namak,Jyada,syntagmatic,perceptual,negative
P20,Cloud,Rain,syntagmatic,perceptual,neutral
P20,Glasses,Vision,syntagmatic,functional,neutral
P20,Salt,Less,syntagmatic,perceptual,neutral
P20,Neighbourhood,House,syntagmatic,functional,neutral
P21,Values,Rate,encyclopedic,cultural,neutral
P21,Neighbourhood,House,syntagmatic,functional,neutral
P21,Shyness,Dullness,paradigmatic,emotional,neutral
P21,Time,Traveller,encyclopedic,cultural,neutral
P21,Kutta,Billi,paradigmatic,taxonomic,neutral
P21,Namak,Chini,paradigmatic,taxonomic,neutral
P21,Blessing,Ayushman,encyclopedic,cultural,positive
P21,Aashirwad,Jeete raho,syntagmatic,cultural,positive
P21,Samay,Vartman,encyclopedic,cultural,neutral
P21,Cloud,Rain,syntagmatic,perceptual,neutral
P21,Sharam,Befakuf,encyclopedic,cultural,negative
P21,Opportunity,Grab,syntagmatic,functional,positive
P21,Glasses,Goggles,paradigmatic,taxonomic,neutral
P21,Baadal,Varsha,syntagmatic,perceptual,neutral
P21,Mohalla,Gharana,encyclopedic,cultural,neutral
P21,Dog,Kutta,paradigmatic,taxonomic,neutral
P21,Sanskar,Vehem,encyclopedic,cultural,neutral
P21,Chashma,Laces,encyclopedic,cultural,neutral
P21,Mauka,Gava diya,encyclopedic,cultural,negative
P21,Salt,Sour,syntagmatic,perceptual,negative
P22,Blessing,God,syntagmatic,cultural,positive
P22,Salt,Sweet,paradigmatic,taxonomic,neutral
P22,Baadal,Cloud,paradigmatic,taxonomic,neutral
P22,Values,Morals,paradigmatic,taxonomic,positive
P22,Mohalla,Clinic,encyclopedic,cultural,neutral
P22,Dog,Cat,paradigmatic,taxonomic,neutral
P22,Shyness,Openness,paradigmatic,emotional,neutral
P22,Samay,Time,paradigmatic,taxonomic,neutral
P22,Chashma,Specs,paradigmatic,taxonomic,neutral
P22,Namak,Salt,paradigmatic,taxonomic,neutral
P22,Opportunity,Rising,syntagmatic,functional,positive
P22,Mauka,Opportunity,paradigmatic,taxonomic,positive
P22,Neighbourhood,Society,paradigmatic,taxonomic,neutral
P22,Sanskar,Values,paradigmatic,taxonomic,positive
P22,Sharam,Besharam,paradigmatic,emotional,negative
P22,Kutta,Dog,paradigmatic,taxonomic,neutral
P22,Aashirwad,Blessing,paradigmatic,taxonomic,positive
P22,Glasses,Specs,paradigmatic,taxonomic,neutral
P22,Cloud,Rain,syntagmatic,perceptual,neutral
P22,Time,Samay,paradigmatic,taxonomic,neutral
